permission_code,domain,resource,action,scope,APP_OWNER,SUPER_ADMIN,OPERATIONS_ADMIN,FINANCE_STAFF,HR_ADMIN,MARKETING_ADMIN,SUPERVISOR,WAREHOUSE_MANAGER,SUBSTATION_MANAGER,RIDER,DRIVER,HELPER,DATA_ENTRY,CUSTOMER_SERVICE,STAFF,MERCHANT,CUSTOMER
CTRL:PERMISSIONS:CATALOG:WRITE:S5_COMPANY,CTRL,PERMISSIONS,CATALOG,WRITE,1,,,,,,,,,,,,,,,,
CTRL:POLICIES:RLS:DEPLOY:S5_COMPANY,CTRL,POLICIES,RLS,DEPLOY,1,,,,,,,,,,,,,,,,
CTRL:RBAC:VIEW:S5_COMPANY,CTRL,RBAC,VIEW,S5_COMPANY,1,,,,,,,,,,,,,,,,
CTRL:RBAC:WRITE:S5_COMPANY,CTRL,RBAC,WRITE,S5_COMPANY,1,,,,,,,,,,,,,,,,
CTRL:SYSTEM:FEATURE_FLAGS:CFG:S5_COMPANY,CTRL,SYSTEM,FEATURE_FLAGS,CFG,1,,,,,,,,,,,,,,,,
CUS:CUSTOMER_PORTAL:VIEW:S1_SELF,CUS,CUSTOMER_PORTAL,VIEW,S1_SELF,1,1,,,,,,,,,,,,1,,1,1
CUS:CUSTOMER_SUPPORT:VIEW:S1_SELF,CUS,CUSTOMER_SUPPORT,VIEW,S1_SELF,1,1,,,,,,,,,,,,1,,,1
EXEC:COURIER_APP:VIEW:S3_BRANCH,EXEC,COURIER_APP,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:DELIVERY:VIEW:S3_BRANCH,EXEC,DELIVERY,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:DELIVERY_FLOW:VIEW:S3_BRANCH,EXEC,DELIVERY_FLOW,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:ELECTRONIC_SIGNATURE_MANAGEMENT:VIEW:S3_BRANCH,EXEC,ELECTRONIC_SIGNATURE_MANAGEMENT,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:LABEL_ACTIVATION:VIEW:S3_BRANCH,EXEC,LABEL_ACTIVATION,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:PARCEL_PICKUP:VIEW:S3_BRANCH,EXEC,PARCEL_PICKUP,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:PICKUP_FLOW:VIEW:S3_BRANCH,EXEC,PICKUP_FLOW,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:RIDER_CALCULATOR:VIEW:S3_BRANCH,EXEC,RIDER_CALCULATOR,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:RIDER_DASHBOARD:VIEW:S3_BRANCH,EXEC,RIDER_DASHBOARD,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:RIDER_DELIVERY:VIEW:S3_BRANCH,EXEC,RIDER_DELIVERY,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:RIDER_LABEL:VIEW:S3_BRANCH,EXEC,RIDER_LABEL,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:RIDER_PICKUP:VIEW:S3_BRANCH,EXEC,RIDER_PICKUP,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:RIDER_TAGS:VIEW:S3_BRANCH,EXEC,RIDER_TAGS,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:SHIPPING_CALCULATOR:VIEW:S3_BRANCH,EXEC,SHIPPING_CALCULATOR,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:TAG_BATCH_MANAGEMENT:VIEW:S3_BRANCH,EXEC,TAG_BATCH_MANAGEMENT,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
EXEC:WAREHOUSE_DROP:VIEW:S3_BRANCH,EXEC,WAREHOUSE_DROP,VIEW,S3_BRANCH,1,1,1,,,,1,,,1,1,1,,,,,
FIN:COD:EXECUTE:S1_SELF,FIN,COD,EXECUTE,S1_SELF,1,1,,1,,,,,,1,1,1,,,,,
FIN:COD:RECONCILE:X:S3_BRANCH,FIN,COD,RECONCILE,X,1,1,,1,,,,,,,,,,,,,
FIN:FINANCE:VIEW:S4_REGION,FIN,FINANCE,VIEW,S4_REGION,1,1,,1,,,,,,,,,,,,,
FIN:REPORTS:EXPORT:E:S4_REGION,FIN,REPORTS,EXPORT,E,1,1,,1,,,,,,,,,,,,,
FIN:REPORTS:VIEW:S4_REGION,FIN,REPORTS,VIEW,S4_REGION,1,1,,1,,,1,,,,,,,,,,
FIN:REVENUE_FORECAST:VIEW:S4_REGION,FIN,REVENUE_FORECAST,VIEW,S4_REGION,1,1,,1,,,,,,,,,,,,,
GPS:FLEET:VIEW:S3_BRANCH,GPS,FLEET,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
GPS:GEOFENCE:CFG:S5_COMPANY,GPS,GEOFENCE,CFG,S5_COMPANY,1,1,1,,,,1,,,,,,,,,,
GPS:GPS_TRACKING_DASHBOARD:VIEW:S3_BRANCH,GPS,GPS_TRACKING_DASHBOARD,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
GPS:MAP:VIEW:S3_BRANCH,GPS,MAP,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
GPS:REAL_TIME_MAP_VIEW:VIEW:S3_BRANCH,GPS,REAL_TIME_MAP_VIEW,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
GPS:TRACKING:UPDATE:S1_SELF,GPS,TRACKING,UPDATE,S1_SELF,1,1,1,,,,1,,,1,1,1,,,,,
GPS:TRACKING:VIEW:S3_BRANCH,GPS,TRACKING,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
GPS:TRACKING_MAP:VIEW:S3_BRANCH,GPS,TRACKING_MAP,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
HR:HUMAN_RESOURCES:VIEW:S5_COMPANY,HR,HUMAN_RESOURCES,VIEW,S5_COMPANY,1,1,,,,,,,,,,,,,,,
MER:MERCHANT_ANALYTICS:VIEW:S1_SELF,MER,MERCHANT_ANALYTICS,VIEW,S1_SELF,1,1,,,,,,,,,,,,,,1,
MER:MERCHANT_PORTAL:VIEW:S1_SELF,MER,MERCHANT_PORTAL,VIEW,S1_SELF,1,1,,,,,,,,,,,,,,1,
MKT:CAMPAIGN_MANAGER:VIEW:S5_COMPANY,MKT,CAMPAIGN_MANAGER,VIEW,S5_COMPANY,1,1,,,,,,,,,,,,,,,
MKT:MARKETING:VIEW:S5_COMPANY,MKT,MARKETING,VIEW,S5_COMPANY,1,1,,,,,,,,,,,,,,,
MKT:MARKETING_DASHBOARD:VIEW:S5_COMPANY,MKT,MARKETING_DASHBOARD,VIEW,S5_COMPANY,1,1,,,,,,,,,,,,,,,
OPS:ADVANCED_LOGISTICS:VIEW:S3_BRANCH,OPS,ADVANCED_LOGISTICS,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:APPROVAL_QUEUE:VIEW:S3_BRANCH,OPS,APPROVAL_QUEUE,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:AUDIT_DASHBOARD:VIEW:S3_BRANCH,OPS,AUDIT_DASHBOARD,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:CALCULATOR:VIEW:S3_BRANCH,OPS,CALCULATOR,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:CONTROL_ROOM:VIEW:S3_BRANCH,OPS,CONTROL_ROOM,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:DASHBOARD:VIEW:S3_BRANCH,OPS,DASHBOARD,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:DATA_ENTRY:VIEW:S3_BRANCH,OPS,DATA_ENTRY,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:ENTERPRISE_PORTAL:VIEW:S3_BRANCH,OPS,ENTERPRISE_PORTAL,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:EXCEPTION:APPROVE:S4_REGION,OPS,EXCEPTION,APPROVE,S4_REGION,1,1,1,,,,1,,,,,,,,,,
OPS:EXCEPTION:CREATE:S3_BRANCH,OPS,EXCEPTION,CREATE,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:HOME:VIEW:S3_BRANCH,OPS,HOME,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:LANDING_PAGE:VIEW:S3_BRANCH,OPS,LANDING_PAGE,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:MANUAL_PAGE:VIEW:S3_BRANCH,OPS,MANUAL_PAGE,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:OPERATIONS:VIEW:S3_BRANCH,OPS,OPERATIONS,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:PICKUP_REQUEST:VIEW:S3_BRANCH,OPS,PICKUP_REQUEST,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:QR_CODE_MANAGEMENT:VIEW:S3_BRANCH,OPS,QR_CODE_MANAGEMENT,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:QR_OPERATIONS:VIEW:S3_BRANCH,OPS,QR_OPERATIONS,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:REGISTRATION_QUEUE:VIEW:S3_BRANCH,OPS,REGISTRATION_QUEUE,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:ROLE_MANAGEMENT:VIEW:S3_BRANCH,OPS,ROLE_MANAGEMENT,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:ROUTE_OPTIMIZATION_DASHBOARD:VIEW:S3_BRANCH,OPS,ROUTE_OPTIMIZATION_DASHBOARD,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:SCAN:EXECUTE:S1_SELF,OPS,SCAN,EXECUTE,S1_SELF,1,1,1,,,,1,1,1,1,1,1,1,,,,
OPS:SETTINGS:VIEW:S3_BRANCH,OPS,SETTINGS,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:SHIPMENT:CANCEL:S3_BRANCH,OPS,SHIPMENT,CANCEL,S3_BRANCH,1,1,1,,,,1,,,,,,1,,,,
OPS:SHIPMENT:CREATE:S3_BRANCH,OPS,SHIPMENT,CREATE,S3_BRANCH,1,1,1,,,,1,,,,,,1,,,,
OPS:SHIPMENT:UPDATE:S3_BRANCH,OPS,SHIPMENT,UPDATE,S3_BRANCH,1,1,1,1,,,1,,,,,,1,,,,
OPS:SHIPMENT:VIEW:S3_BRANCH,OPS,SHIPMENT,VIEW,S3_BRANCH,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,
OPS:SHIPMENTS:VIEW:S3_BRANCH,OPS,SHIPMENTS,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:SHIPMENT_LIFECYCLE:VIEW:S3_BRANCH,OPS,SHIPMENT_LIFECYCLE,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:SHIPMENT_REGISTRATION:VIEW:S3_BRANCH,OPS,SHIPMENT_REGISTRATION,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:SIGN_UP:VIEW:S3_BRANCH,OPS,SIGN_UP,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:SUBMIT_FOR_APPROVAL:VIEW:S3_BRANCH,OPS,SUBMIT_FOR_APPROVAL,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:SUBSTATION:VIEW:S3_BRANCH,OPS,SUBSTATION,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:SUBSTATION_RECEIVING:VIEW:S3_BRANCH,OPS,SUBSTATION_RECEIVING,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:SUPERVISOR_DASHBOARD:VIEW:S3_BRANCH,OPS,SUPERVISOR_DASHBOARD,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:SYSTEM_SETTINGS:VIEW:S3_BRANCH,OPS,SYSTEM_SETTINGS,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:TAG_INVENTORY_MANAGEMENT:VIEW:S3_BRANCH,OPS,TAG_INVENTORY_MANAGEMENT,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:TRACKING_MAP_PAGE:VIEW:S3_BRANCH,OPS,TRACKING_MAP_PAGE,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:USERS:VIEW:S3_BRANCH,OPS,USERS,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
OPS:USER_MANAGEMENT:VIEW:S3_BRANCH,OPS,USER_MANAGEMENT,VIEW,S3_BRANCH,1,1,1,,,,1,,,,,,,,,,
PUB:LOCATIONS:VIEW,PUB,LOCATIONS,VIEW,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PUB:RATES:VIEW,PUB,RATES,VIEW,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PUB:TRACKING:VIEW,PUB,TRACKING,VIEW,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SUP:CUSTOMER_SERVICE_DASHBOARD:VIEW:S3_BRANCH,SUP,CUSTOMER_SERVICE_DASHBOARD,VIEW,S3_BRANCH,1,1,,,,,,,,,,,,,,,
SUP:CUSTOMER_SUPPORT:VIEW:S3_BRANCH,SUP,CUSTOMER_SUPPORT,VIEW,S3_BRANCH,1,1,,,,,,,,,,,,,,,
SUP:LIVE_CHAT_INTERFACE:VIEW:S3_BRANCH,SUP,LIVE_CHAT_INTERFACE,VIEW,S3_BRANCH,1,1,,,,,,,,,,,,,,,
WH:DISPATCH_MANAGEMENT:VIEW:S3_BRANCH,WH,DISPATCH_MANAGEMENT,VIEW,S3_BRANCH,1,1,1,,,,1,1,,,,,,,,,
WH:HUB_OPERATIONS:VIEW:S3_BRANCH,WH,HUB_OPERATIONS,VIEW,S3_BRANCH,1,1,1,,,,1,1,,,,,,,,,
WH:RECEIVING_BAY:VIEW:S3_BRANCH,WH,RECEIVING_BAY,VIEW,S3_BRANCH,1,1,1,,,,1,1,,,,,,,,,
WH:RIDER_WAREHOUSE:VIEW:S3_BRANCH,WH,RIDER_WAREHOUSE,VIEW,S3_BRANCH,1,1,1,,,,1,1,,,,,,,,,
WH:SUBSTATION_RECEIVING:VIEW:S3_BRANCH,WH,SUBSTATION_RECEIVING,VIEW,S3_BRANCH,1,1,1,,,,1,1,1,,,,,,,,
WH:SUPERVISOR_INVENTORY:VIEW:S3_BRANCH,WH,SUPERVISOR_INVENTORY,VIEW,S3_BRANCH,1,1,1,,,,1,1,,,,,,,,,
WH:WAREHOUSE:VIEW:S3_BRANCH,WH,WAREHOUSE,VIEW,S3_BRANCH,1,1,1,,,,1,1,,,,,,,,,
WH:WAREHOUSE_DISPATCH:VIEW:S3_BRANCH,WH,WAREHOUSE_DISPATCH,VIEW,S3_BRANCH,1,1,1,,,,1,1,,,,,,,,,
WH:WAREHOUSE_OPERATIONS:VIEW:S3_BRANCH,WH,WAREHOUSE_OPERATIONS,VIEW,S3_BRANCH,1,1,1,,,,1,1,,,,,,,,,
WH:WAREHOUSE_RECEIVING:VIEW:S3_BRANCH,WH,WAREHOUSE_RECEIVING,VIEW,S3_BRANCH,1,1,1,,,,1,1,,,,,,,,,
